ds, y
31.12.1993, 158800
31.12.1994, 157300
31.12.1995, 154400
31.12.1996, 155200
31.12.1997, 173141
31.12.1998, 194676
31.12.1999, 228356
31.12.2000, 289324
31.12.2001, 345045
31.12.2002, 395898
31.12.2003, 493185
31.12.2004, 592900
31.12.2005, 691176
31.12.2006, 802493
31.12.2007, 892300
31.12.2008, 999810
31.12.2009, 1178240
31.12.2010, 1344060
31.12.2011, 1499373
31.12.2012, 1667632
31.12.2013, 1683338
31.12.2014, 1663663
31.12.2015, 1672976
31.12.2016, 1613374
31.12.2017, 1624716
31.12.2018, 1622004
31.12.2019, 1640185
31.12.2020, 2049731
31.12.2021, 2465728
31.12.2022, 2894838
31.12.2023, 3110900
30.06.2024, 3207100
